routeID,routeName,baselineAvgMinutes,closedRouteAvgMinutes,deltaMinutes,walkOnlyTrips,note
"24589_3","7A",62.42,62.42,0.00,123,"6 baseline trips used this route"
"25659_2","804",62.42,62.42,0.00,123,"1 baseline trips used this route"
"7241_3","12",62.42,62.42,0.00,123,"14 baseline trips used this route"
"7259_3","142",62.42,62.42,0.01,123,"1 baseline trips used this route"
"19850_3","72",62.42,62.43,0.01,123,"16 baseline trips used this route"
"11746_2","IC",62.42,62.43,0.01,123,"12 baseline trips used this route"
"22234_3","37",62.42,62.43,0.01,123,"13 baseline trips used this route"
"7257_3","14",62.42,62.43,0.01,124,"2 baseline trips used this route"
"7234_3","10",62.42,62.43,0.01,123,"12 baseline trips used this route"
"7465_3","77",62.42,62.44,0.02,123,"3 baseline trips used this route"
"24588_3","23",62.42,62.45,0.03,123,"4 baseline trips used this route"
"7316_3","22",62.42,62.45,0.04,123,"9 baseline trips used this route"
"24609_109","Bx",62.42,62.47,0.06,123,"29 baseline trips used this route"
"25029_3","32",62.42,62.48,0.06,130,"8 baseline trips used this route"
"10359_3","35",62.42,62.49,0.08,126,"8 baseline trips used this route"
"24587_3","18",62.42,62.50,0.08,128,"9 baseline trips used this route"
"26089_3","17",62.42,62.53,0.11,127,"24 baseline trips used this route"
"16448_109","A",62.42,62.55,0.13,123,"50 baseline trips used this route"
"11748_2","RE",62.42,62.56,0.14,123,"46 baseline trips used this route"
"7343_3","26",62.42,62.61,0.20,128,"34 baseline trips used this route"
"16452_109","E",62.42,62.62,0.20,123,"79 baseline trips used this route"
"22233_3","34",62.42,62.65,0.23,126,"12 baseline trips used this route"
"25658_2","803",62.42,62.70,0.28,123,"22 baseline trips used this route"
"7387_700","350S",62.42,62.74,0.32,124,"52 baseline trips used this route"
"7307_3","21",62.42,62.74,0.32,142,"28 baseline trips used this route"
"7393_3","36",62.42,62.78,0.36,143,"42 baseline trips used this route"
"26090_3","8A",62.42,62.78,0.37,130,"43 baseline trips used this route"
"26109_3","19",62.42,62.81,0.39,142,"62 baseline trips used this route"
"7448_3","68",62.42,62.89,0.47,126,"102 baseline trips used this route"
"25184_3","11",62.42,62.92,0.50,138,"42 baseline trips used this route"
"16449_109","B",62.42,62.92,0.51,123,"136 baseline trips used this route"
"25657_2","802",62.42,62.94,0.52,123,"50 baseline trips used this route"
"16454_109","H",62.42,63.05,0.64,125,"91 baseline trips used this route"
"7303_3","1A",62.42,63.06,0.65,147,"31 baseline trips used this route"
"7371_3","33",62.42,63.24,0.82,148,"69 baseline trips used this route"
"16451_109","C",62.42,63.30,0.88,123,"107 baseline trips used this route"
"7346_3","2A",62.42,63.49,1.07,131,"190 baseline trips used this route"
"26169_2","805",62.42,63.80,1.38,123,"116 baseline trips used this route"
"16453_109","F",62.42,64.15,1.73,136,"132 baseline trips used this route"
"21718_3","31",62.42,65.17,2.76,182,"185 baseline trips used this route"
"23318_3","5C",62.42,65.51,3.09,192,"269 baseline trips used this route"
"7336_700","250S",62.42,72.74,10.32,388,"415 baseline trips used this route"
